voteresult,SCIij,leave rate,GDHIperhead_pounds_2016,rate_60,No Qualifications,Other Qualifications,Below NQF Level 2,NQF Level 2,Trade Apprenticeships,NQF Level 3,NQF Level 4 and above,(16-64)unemployment rate,(16-64)Economic inactivity rate,Claimant Count rate,job density(16-62) ratio
1,1209,0.5122,23875,0.197428154,0.046,0.093,0.079,0.124,0.026,0.166,0.466,8.06,19.1,1.35,0.83
0,975,0.4008,30987,0.187991081,0.031,0.074,0.059,0.1,0.016,0.131,0.588,3.74,19.6,2.4,0.95
0,622,0.4733,23762,0.208602982,0.035,0.07,0.085,0.129,0.031,0.16,0.489,3.91,18.28,1.27,1.05
1,680,0.5141,19986,0.194909207,0.051,0.075,0.099,0.141,0.022,0.176,0.437,3.27,16.27,1.56,1.21
0,534,0.4868,27414,0.247269266,0.026,0.058,0.104,0.148,0.027,0.181,0.457,3.42,19.61,0.97,0.89
0,630,0.432,23498,0.240929851,0.029,0.047,0.089,0.122,0.027,0.175,0.51,2.96,17.72,1.13,1.04
0,747,0.3138,20902,0.176941244,0.012,0.033,0.067,0.135,0.031,0.167,0.555,7.59,18.56,2.16,0.83
1,353,0.5453,21551,0.327932066,0.046,0.071,0.101,0.166,0.041,0.184,0.391,6.11,18.63,2.27,0.79
0,538,0.4688,28823,0.241239533,0.043,0.059,0.077,0.113,0.031,0.173,0.505,3.94,15.27,0.66,0.97
0,418,0.4967,28105,0.258617161,0.047,0.067,0.093,0.139,0.029,0.181,0.444,3.16,16.82,0.82,0.92
1,463,0.5596,21673,0.327949472,0.046,0.087,0.107,0.178,0.025,0.177,0.38,2.06,19.4,1.43,0.86
1,524,0.5026,23529,0.253703541,0.048,0.022,0.113,0.194,0.033,0.192,0.399,3.41,16.55,1.01,0.99
1,466,0.5808,15519,0.18900288,0.039,0.052,0.115,0.156,0.04,0.188,0.408,5.74,20.21,1.78,0.89
1,737,0.538,15633,0.178313642,0.039,0.069,0.084,0.142,0.033,0.221,0.41,3.16,20.91,2.73,0.77
1,244,0.6195,17391,0.360193664,0.042,0.048,0.147,0.158,0.048,0.233,0.323,5.59,22.25,2.03,0.8
1,232,0.578,19929,0.283124095,0.03,0.046,0.134,0.181,0.073,0.229,0.308,4.62,20.75,1.25,0.76
1,349,0.5097,24725,0.311662905,0.032,0.054,0.094,0.152,0.054,0.198,0.416,2.4,20.08,0.82,0.98
1,393,0.5219,23226,0.230036403,0.032,0.076,0.131,0.179,0.016,0.153,0.413,3.83,17.06,0.9,0.87
1,408,0.6408,18138,0.215240996,0.049,0.075,0.105,0.194,0.034,0.213,0.33,5.12,21.22,2.18,0.61
1,537,0.6384,19095,0.225542724,0.055,0.055,0.112,0.231,0.056,0.181,0.31,3.04,16.91,2.21,0.74
1,415,0.5935,18241,0.293675798,0.035,0.072,0.147,0.153,0.046,0.194,0.354,3.98,20.1,3.03,0.73
1,565,0.5905,20946,0.249275353,0.058,0.059,0.129,0.161,0.052,0.19,0.351,3.44,16.88,1.53,0.91
1,407,0.5197,26078,0.257371072,0.056,0.05,0.149,0.192,0.035,0.172,0.346,3.61,17.86,0.85,0.92
0,632,0.3827,18276,0.170451459,0.024,0.037,0.082,0.11,0.029,0.14,0.578,5.01,18.77,1.79,1.03
0,436,0.4966,20990,0.260260138,0.026,0.043,0.099,0.137,0.038,0.183,0.474,3.62,15.18,1.39,0.93
1,399,0.5098,20996,0.279624822,0.03,0.064,0.105,0.159,0.03,0.187,0.425,3.73,17.75,1.51,0.93
1,409,0.5466,18741,0.219133597,0.036,0.072,0.146,0.153,0.037,0.157,0.399,3.62,17.64,2.24,0.91
1,326,0.5249,20732,0.278737168,0.042,0.049,0.088,0.164,0.036,0.182,0.44,2.38,20.07,1.47,0.92
1,589,0.5647,19444,0.259526312,0.057,0.061,0.107,0.144,0.04,0.18,0.412,4.74,19.26,2.14,0.92
1,269,0.5659,20949,0.368192912,0.064,0.06,0.139,0.144,0.038,0.218,0.337,3.32,20.67,1.38,0.9
1,405,0.5573,19031,0.317713918,0.045,0.037,0.102,0.168,0.048,0.218,0.38,2.96,20.29,2.21,0.89
1,278,0.5652,17542,0.320773812,0.053,0.042,0.107,0.193,0.048,0.204,0.352,4.15,21.82,1.74,0.85
1,301,0.5994,15719,0.242014317,0.026,0.043,0.105,0.163,0.043,0.199,0.42,4.51,20.89,2.91,0.81
1,286,0.6316,17527,0.340133174,0.043,0.054,0.111,0.176,0.033,0.26,0.323,4.82,23.36,2.22,0.76
1,293,0.5279,19248,0.323976539,0.052,0.05,0.107,0.162,0.043,0.18,0.406,3.91,18.19,1.04,0.91
1,166,0.5094,16559,0.334971078,0.06,0.047,0.11,0.143,0.044,0.189,0.408,5.14,20.41,2.26,0.69
0,253,0.4195,15142,0.290796523,0.073,0.063,0.083,0.153,0.045,0.177,0.406,2.74,24.87,1.65,0.88
1,209,0.5399,16543,0.333383354,0.045,0.065,0.094,0.163,0.036,0.189,0.407,4.39,24.17,2.49,0.8
1,267,0.5327,15890,0.319817619,0.075,0.058,0.101,0.183,0.044,0.189,0.351,2.84,26.3,1.82,0.79
1,192,0.5424,14414,0.251194801,0.07,0.086,0.111,0.163,0.045,0.177,0.348,5.85,28.82,2.29,0.58
1,162,0.5909,14829,0.261186503,0.077,0.082,0.113,0.174,0.031,0.185,0.336,4.81,24.3,2.85,0.59
1,176,0.5199,15357,0.270247088,0.066,0.064,0.116,0.176,0.046,0.144,0.388,2.04,27.21,2.74,0.66
1,299,0.5151,14967,0.254118521,0.058,0.057,0.096,0.171,0.042,0.171,0.404,5.14,24.58,3.08,0.8
